962	Betamethasone	collapse_score=83.02726846	train_top1=3700	valid_top1=241	mean_score_train=2.39484406
3121	Fusidic acid	collapse_score=70.31505873	train_top1=3407	valid_top1=186	mean_score_train=0.58188719
5426	Methylprednisolone	collapse_score=30.2668213	train_top1=1277	valid_top1=73	mean_score_train=2.2399981
2042	Cortisone acetate	collapse_score=5.43282104	train_top1=1	valid_top1=0	mean_score_train=2.19408917
3824	Hydrocortisone	collapse_score=5.21520392	train_top1=1	valid_top1=0	mean_score_train=2.22459936
6826	Prednisolone	collapse_score=5.13139603	train_top1=1	valid_top1=0	mean_score_train=2.00061488
8732	Triamcinolone	collapse_score=5.01072327	train_top1=1	valid_top1=0	mean_score_train=2.19044399
2378	Dexamethasone	collapse_score=4.99412066	train_top1=0	valid_top1=0	mean_score_train=1.88144433
6828	Prednisone	collapse_score=4.0734223	train_top1=0	valid_top1=0	mean_score_train=1.6621747
3825	Hydrocortisone acetate	collapse_score=3.84200701	train_top1=0	valid_top1=0	mean_score_train=1.6700089
2446	Doxorubicin	collapse_score=3.35162315	train_top1=0	valid_top1=0	mean_score_train=1.3385067
1913	Carmustine	collapse_score=2.61737071	train_top1=0	valid_top1=0	mean_score_train=0.9943729
954	Benzylpenicillin	collapse_score=2.23289119	train_top1=0	valid_top1=0	mean_score_train=0.10375468
6847	Propranolol	collapse_score=2.1598159	train_top1=0	valid_top1=0	mean_score_train=1.27747381
979	Bleomycin	collapse_score=2.07741693	train_top1=0	valid_top1=0	mean_score_train=0.92642361
8674	Thiotepa	collapse_score=2.01371105	train_top1=0	valid_top1=0	mean_score_train=0.73547488
8955	Vincristine	collapse_score=2.00234452	train_top1=0	valid_top1=0	mean_score_train=0.88930327
5947	Ofloxacin	collapse_score=1.97491766	train_top1=0	valid_top1=0	mean_score_train=0.32670522
704	Amphotericin B	collapse_score=1.87573249	train_top1=0	valid_top1=0	mean_score_train=-0.00880448
5864	Norfloxacin	collapse_score=1.85929972	train_top1=0	valid_top1=0	mean_score_train=0.09357096
