Delapril	indication	hypertensive disorder
Perindopril	indication	hypertensive disorder
Oxprenolol	indication	hypertensive disorder
Nisoldipine	indication	hypertension
Mecamylamine	indication	hypertension
Methyldopa	indication	hypertension
Guanadrel	indication	hypertensive disorder
Guanadrel	indication	hypertension
Endralazine	indication	hypertensive disorder
Clevidipine	indication	hypertensive disorder
Valsartan	indication	hypertension
Methyclothiazide	indication	hypertensive disorder
Azelnidipine	indication	hypertensive disorder
Meticrane	indication	hypertension
Eplerenone	indication	hypertension
Lercanidipine	indication	hypertension
Pramipexole	indication	restless legs syndrome
Opicapone	indication	Parkinson disease
Opicapone	indication	X-linked parkinsonism-spasticity syndrome
Ropinirole	indication	hemiparkinsonism-hemiatrophy syndrome
Cycrimine	indication	X-linked parkinsonism-spasticity syndrome
Amantadine	indication	X-linked parkinsonism-spasticity syndrome
Levodopa	indication	hemiparkinsonism-hemiatrophy syndrome
Apomorphine	indication	parkinsonian-pyramidal syndrome
Apomorphine	indication	juvenile onset Parkinson disease 19A
Carbidopa	indication	hemiparkinsonism-hemiatrophy syndrome
Carbidopa	indication	atypical juvenile parkinsonism
Droxidopa	indication	X-linked parkinsonism-spasticity syndrome
Istradefylline	indication	juvenile onset Parkinson disease 19A
Istradefylline	indication	hemiparkinsonism-hemiatrophy syndrome
Selegiline	indication	hereditary late onset Parkinson disease
Trihexyphenidyl	indication	juvenile onset Parkinson disease 19A
Pramipexole	indication	early-onset parkinsonism-intellectual disability syndrome
Droxidopa	indication	orthostatic hypotension
Benzatropine	indication	focal hand dystonia
Benzatropine	indication	blepharospasm
Metharbital	indication	insomnia (disease)
Sertaconazole	indication	tinea pedis
Clioquinol	indication	tinea pedis
Oxitropium	indication	COPD, severe early onset
Methantheline	indication	gastric ulcer (disease)
Aluminum hydroxide	indication	gastric ulcer (disease)
Trichloroacetate	indication	anogenital human papillomavirus infection
Cianidanol	indication	anogenital human papillomavirus infection
Triamcinolone	indication	autoimmune disease
Masoprocol	indication	actinic keratosis (disease)
Diclofenac	indication	melanoacanthoma
Aminolevulinic acid	indication	inverted follicular keratosis
Moclobemide	indication	anxiety disorder
Setiptiline	indication	neurotic disorder
Iproniazid	indication	dysthymic disorder
Desipramine	indication	dysthymic disorder
Protriptyline	indication	neurotic disorder
Protriptyline	indication	dysthymic disorder
Butriptyline	indication	dysthymic disorder
Opipramol	indication	neurotic disorder
Lofepramine	indication	neurotic disorder
Caroxazone	indication	neurotic disorder
Doxepin	indication	neurotic disorder
Cariprazine	indication	manic bipolar affective disorder
Oxcarbazepine	indication	partial epilepsy
Lorazepam	indication	absence epilepsy
Trimethadione	indication	absence epilepsy
Cariprazine	indication	bipolar disorder
Mometasone furoate	indication	exanthem (disease)
Cortisone acetate	indication	exanthem (disease)
Hydrochlorothiazide	indication	congestive heart failure
Trifluridine	indication	herpes simplex virus keratitis
Testosterone	indication	X-linked intellectual disability with isolated growth hormone deficiency
Hydrocortisone	indication	humoral hypercalcemia of malignancy
Dexamethasone	indication	humoral hypercalcemia of malignancy
Vincristine	indication	acute lymphoblastic/lymphocytic leukemia
Vindesine	indication	acute lymphoblastic leukemia (disease)
Prednisolone	indication	leukemia, lymphocytic, susceptibility to
Hydrocortisone	indication	acute lymphoblastic/lymphocytic leukemia
Hydrocortisone acetate	indication	acute lymphoblastic leukemia (disease)
Clofarabine	indication	precursor T-cell acute lymphoblastic leukemia
Methylprednisolone	indication	pulmonary eosinophilia
Prednisone	indication	adrenocortical insufficiency
Hydrocortisone	indication	Addison disease
Cortisone acetate	indication	adrenocortical insufficiency
Cortisone acetate	indication	Crohn disease
Certolizumab pegol	indication	Crohn disease
Methylprednisolone	indication	congenital adrenal hyperplasia
Methylprednisolone	indication	adrenogenital syndrome
Cortisone acetate	indication	adrenogenital syndrome
Triamcinolone	indication	congenital adrenal hyperplasia
Prednisolone	indication	pemphigus
Triamcinolone	indication	pemphigus
Methylprednisolone	indication	acquired angioedema
Promazine	indication	renin-angiotensin-aldosterone system-blocker-induced angioedema
Cortisone acetate	indication	renin-angiotensin-aldosterone system-blocker-induced angioedema
Dexamethasone	indication	non-histaminic angioedema
Triamcinolone	indication	angioedema
Triamcinolone	indication	non-histaminic angioedema
Triamcinolone	indication	hereditary angioedema
Prednisolone	indication	bursitis
Carbenoxolone	indication	peptic ulcer disease
Oxyphencyclimine	indication	peptic ulcer disease
Hydrocortisone	indication	psoriatic arthritis
Hydrocortisone acetate	indication	psoriatic arthritis
Etanercept	indication	psoriatic arthritis
Hydrocortisone	indication	nephrotic syndrome
Hydrocortisone	indication	lipoid nephrosis
Methylprednisolone hemisuccinate	indication	lipoid nephrosis
Triamcinolone	indication	lipoid nephrosis
Paclitaxel	indication	open-angle glaucoma
Timolol	indication	open-angle glaucoma
Dorzolamide	indication	open-angle glaucoma
Choline magnesium trisalicylate	indication	rheumatoid arthritis
Cortisone acetate	indication	rheumatoid arthritis
Tenidap	indication	rheumatoid arthritis
Mometasone furoate	indication	atopic eczema
Fluticasone propionate	indication	atopic eczema
Prednicarbate	indication	dermatitis, atopic
Fluocinolone acetonide	indication	atopic eczema
Urea	indication	dermatitis, atopic
Tranilast	indication	dermatitis, atopic
Prednisolone	indication	atopic eczema
Flurandrenolide	indication	atopic eczema
Triamcinolone	indication	dermatitis, atopic
Dupilumab	indication	dermatitis, atopic
Tacrolimus	indication	atopic eczema
Eldecalcitol	indication	postmenopausal osteoporosis
Methylprednisolone	indication	contact dermatitis
Fluticasone propionate	indication	contact dermatitis
Desonide	indication	occupational dermatitis
Hydrocortisone	indication	occupational dermatitis
Desoximetasone	indication	occupational dermatitis
Prednisolone	indication	autoimmune thrombocytopenic
Hydrocortisone	indication	autoimmune thrombocytopenic
Clopenthixol	indication	psychotic disorder
Haloperidol	indication	mental disorder
Hydrocortisone acetate	indication	fetal erythroblastosis
Methylprednisolone	indication	aspiration pneumonia (disease)
Prednisolone	indication	aspiration pneumonia (disease)
Hydrocortisone	indication	pneumonitis
Hydrocortisone	indication	aspiration pneumonia (disease)
Beclomethasone dipropionate	indication	asthma
Reproterol	indication	asthma
Cortisone acetate	indication	intrinsic asthma
Hydrocortisone acetate	indication	allergic asthma
Dexamethasone	indication	asthma
Dexamethasone	indication	intrinsic asthma
Ciclesonide	indication	asthma
Ciclesonide	indication	allergic asthma
Pranlukast	indication	intrinsic asthma
Calcium chloride	indication	potassium deficiency disease
Hydrocortisone	indication	Trichinella spiralis infectious disease
Cortisone acetate	indication	Trichinella spiralis infectious disease
Thiabendazole	indication	trichinosis
Thiabendazole	indication	enterobiasis
Aceclofenac	indication	spondyloarthropathy, susceptibility to
Methylprednisolone	indication	spondyloarthropathy, susceptibility to
Prednisone	indication	spondyloarthropathy, susceptibility to
Hydrocortisone	indication	ankylosing spondylitis
Naproxen	indication	ankylosing spondylitis
Infliximab	indication	ankylosing spondylitis
Oxymetholone	indication	Diamond-Blackfan anemia
Betamethasone	indication	Diamond-Blackfan anemia
Methylprednisolone	indication	granulomatous slack skin disease
Methotrexate	indication	folliculotropic mycosis fungoides
Prednisolone	indication	mycosis fungoides and variants
Cyclophosphamide	indication	primary cutaneous T-cell lymphoma
Cyclophosphamide	indication	granulomatous slack skin disease
Cortisone acetate	indication	mycosis fungoides and variants
Hydrocortisone acetate	indication	primary cutaneous T-cell lymphoma
Dexamethasone	indication	localized pagetoid reticulosis
Betamethasone	indication	mycosis fungoides and variants
Triamcinolone	indication	granulomatous slack skin disease
Mogamulizumab	indication	primary cutaneous T-cell lymphoma
Hydrocortisone	indication	exostosis
Hydrocortisone acetate	indication	periarthritis
Naproxen	indication	exostosis
Prednisone	indication	erythema multiforme
Methylprednisolone	indication	dermatitis herpetiformis
Ammonia	indication	parapsoriasis
Hydrocortisone	indication	psoriasis
Hydrocortisone acetate	indication	psoriasis
Tazarotene	indication	psoriasis
Methylprednisolone	indication	serum sickness
Hydrocortisone	indication	serum sickness
Canakinumab	indication	gout
Dexamethasone	indication	gout
Triamcinolone	indication	gout
Mepyramine	indication	vasomotor rhinitis
Ebastine	indication	vasomotor rhinitis
Cetirizine	indication	allergic rhinitis
Phenindamine	indication	allergic rhinitis
Phenylephrine	indication	allergic rhinitis
Phenylephrine	indication	vasomotor rhinitis
Azelastine	indication	allergic rhinitis
Prednisone	indication	allergic rhinitis
Scopolamine	indication	vasomotor rhinitis
Triprolidine	indication	allergic rhinitis
Methdilazine	indication	vasomotor rhinitis
Methscopolamine	indication	vasomotor rhinitis
Olopatadine	indication	vasomotor rhinitis
Brentuximab vedotin	indication	classic Hodgkin lymphoma, lymphocyte-rich type
Vinblastine	indication	obsolete Hodgkin's granuloma
Vincristine	indication	Hodgkins lymphoma
Vincristine	indication	Hodgkin's paragranuloma
Betamethasone	indication	Hodgkins lymphoma
Carmustine	indication	classic Hodgkin lymphoma, lymphocyte-rich type
Bleomycin	indication	classic Hodgkin lymphoma
Poractant alfa	indication	acute respiratory distress syndrome
Methylprednisolone	indication	sarcoidosis
Insulin detemir	indication	diabetes mellitus (disease)
Dexamethasone	indication	tenosynovitis
Hydrocortisone	indication	chronic beryllium disease
Vincristine	indication	B-cell neoplasm
Prednisone	indication	Langerhans cell histiocytosis
Thiotepa	indication	Langerhans cell histiocytosis
Thiotepa	indication	B-cell neoplasm
Prednisolone	indication	non-Hodgkin lymphoma
Hydrocortisone acetate	indication	lymphoma, non-Hodgkin, familial
Betamethasone	indication	lymphosarcoma
Cortisone acetate	indication	thyroiditis (disease)
Prednisolone	indication	heparin-induced thrombocytopenia (disease)
Hydrocortisone acetate	indication	acquired thrombocytopenia
Dexamethasone	indication	acquired thrombocytopenia
Dexamethasone	indication	heparin-induced thrombocytopenia (disease)
Cladribine	indication	hairy cell leukemia variant
Vindesine	indication	melanoma
Ibritumomab tiuxetan	indication	follicular lymphoma
Triamcinolone	indication	follicular lymphoma
Interferon alfa-2b	indication	hepatitis C virus infection
Vaniprevir	indication	chronic hepatitis C virus infection
Boceprevir	indication	hepatitis C virus infection
Voxilaprevir	indication	hepatitis C virus infection
Ombitasvir	indication	hepatitis C virus infection
Terazosin	indication	benign prostatic hyperplasia (disease)
Norfloxacin	indication	typhoid fever
Cefadroxil	indication	urinary tract infection (disease)
Plazomicin	indication	urinary tract infection (disease)
Cefprozil	indication	bronchitis
Norfloxacin	indication	bronchitis
Cysteine	indication	bronchitis
Norepinephrine	indication	bronchitis
Demeclocycline	indication	bronchitis
Vernakalant	indication	atrial fibrillation (disease)
Stanozolol	indication	hereditary angioedema
Captopril	indication	diabetic nephropathy
Dopamine	indication	hypotensive disorder
Epinephrine	indication	hypotensive disorder
Pegloticase	indication	gout
Edetic acid	indication	nephrocalcinosis
Hydrocortisone	indication	acne (disease)
Resorcinol	indication	acne (disease)
Nicotinyl alcohol	indication	pellagra
Phylloquinone	indication	nephrocalcinosis
Calcium lactate	indication	phosphorus metabolism disease
Dihydrotachysterol	indication	hypercalcemia disease
Dihydrotachysterol	indication	nephrocalcinosis
Calcium carbonate	indication	nephrocalcinosis
Calcium carbonate	indication	phosphorus metabolism disease
Calcium chloride	indication	nephrocalcinosis
Caffeine	indication	migraine with or without aura, susceptibility to
Fremanezumab	indication	migraine disorder
Erenumab	indication	migraine with or without aura, susceptibility to
Zolmitriptan	indication	migraine disorder
Colestilan chloride	indication	hyperlipidemia
Dextrothyroxine	indication	hyperlipidemia
Phendimetrazine	indication	monogenic obesity
Metamfetamine	indication	obesity disorder
Phenmetrazine	indication	monogenic obesity
Gemcitabine	indication	ovarian clear cell adenocarcinoma
Gemcitabine	indication	familial ovarian cancer
Gemcitabine	indication	immature ovarian teratoma
Olaparib	indication	ovarian adenocarcinoma
Olaparib	indication	malignant Sertoli-Leydig cell tumor of ovary
Altretamine	indication	yolk sac tumor
Altretamine	indication	ovarian endometrioid adenocarcinoma
Thiotepa	indication	borderline epithelial tumor of ovary
Thiotepa	indication	malignant dysgerminomatous germ cell tumor of ovary
Tretamine	indication	ovarian cancer
Paclitaxel	indication	ovarian clear cell adenocarcinoma
Paclitaxel	indication	hereditary site-specific ovarian cancer syndrome
Paclitaxel	indication	primary non-gestational choriocarcinoma of ovary
Rucaparib	indication	ovarian cancer
Rucaparib	indication	ovarian mucinous adenocarcinoma
Rucaparib	indication	ovarian endometrioid adenocarcinoma
Rucaparib	indication	familial ovarian cancer
Belotecan	indication	borderline epithelial tumor of ovary
Belotecan	indication	malignant non-dysgerminomatous germ cell tumor of ovary
Belotecan	indication	malignant dysgerminomatous germ cell tumor of ovary
Melphalan	indication	malignant germ cell tumor of ovary
Topotecan	indication	ovarian carcinosarcoma
Topotecan	indication	borderline epithelial tumor of ovary
Topotecan	indication	malignant non-dysgerminomatous germ cell tumor of ovary
Topotecan	indication	malignant dysgerminomatous germ cell tumor of ovary
Nafarelin	indication	endometriosis (disease)
Mestranol	indication	endometriosis of uterus
Progesterone	indication	endometriosis of uterus
Megestrol acetate	indication	endometrium neoplasm
Vinpocetine	indication	dementia (disease)
Amlodipine	indication	stroke disorder
Amlodipine	indication	cerebrovascular disorder
Amlodipine	indication	obsolete susceptibility to ischemic stroke
Telmisartan	indication	obsolete susceptibility to ischemic stroke
Dicoumarol	indication	myocardial infarction
Temozolomide	indication	anaplastic astrocytoma
Porfimer sodium	indication	non-small cell lung carcinoma (disease)
Nintedanib	indication	lung cancer
Pembrolizumab	indication	lung cancer
Temozolomide	indication	brain glioblastoma
Vancomycin	indication	Clostridium difficile colitis
Cefixime	indication	tonsillitis
Cefradine	indication	tonsillitis
Sulfamethoxazole	indication	infectious otitis media
Ciprofloxacin	indication	streptococcal infection
Erythromycin	indication	streptococcal infection
Dulaglutide	indication	type 2 diabetes mellitus
Alogliptin	indication	diabetes mellitus (disease)
Linagliptin	indication	type 2 diabetes mellitus
Metformin	indication	diabetes mellitus (disease)
Acarbose	indication	type 2 diabetes mellitus
Glipizide	indication	type 2 diabetes mellitus
Insulin glargine	indication	diabetes mellitus (disease)
Insulin lispro	indication	diabetes mellitus (disease)
Mannitol	indication	ocular hypertension
Brinzolamide	indication	ocular hypertension
Clobazam	indication	cutis verticis gyrata
Pramiracetam	indication	amnestic disorder
Salicylic acid	indication	pityriasis simplex
Terbutaline	indication	dermatitis
Benzoyl peroxide	indication	seborrheic keratosis
Mometasone furoate	indication	seborrheic keratosis
Fluticasone propionate	indication	seborrheic keratosis
Clobetasol propionate	indication	seborrheic dermatitis
Clobetasol propionate	indication	seborrheic keratosis
Acetarsol	indication	amebiasis
Quinfamide	indication	amebiasis
Acetazolamide	indication	angle-closure glaucoma
Hydrocortisone	indication	familial glucocorticoid deficiency
Betamethasone	indication	familial adrenal hypoplasia with absent pituitary luteinizing hormone
Triamcinolone	indication	familial adrenal hypoplasia with absent pituitary luteinizing hormone
Insulin lispro	indication	IDDM 1
Insulin human	indication	IDDM 1
