head	relation	tail
Rotigotine	contraindication	hypertensive disorder
Rotigotine	contraindication	hypertension
Estradiol valerate	contraindication	hypertensive disorder
Estradiol valerate	contraindication	hypertension
Synephrine	contraindication	hypertensive disorder
Synephrine	contraindication	hypertension
Venlafaxine	contraindication	hypertensive disorder
Venlafaxine	contraindication	hypertension
Desvenlafaxine	contraindication	hypertensive disorder
Desvenlafaxine	contraindication	hypertension
Guaifenesin	contraindication	hypertensive disorder
Guaifenesin	contraindication	hypertension
Milnacipran	contraindication	hypertensive disorder
Milnacipran	contraindication	hypertension
Phenyltoloxamine	contraindication	hypertensive disorder
Phenyltoloxamine	contraindication	hypertension
Mepyramine	contraindication	hypertensive disorder
Mepyramine	contraindication	hypertension
Tripelennamine	contraindication	hypertensive disorder
Tripelennamine	contraindication	hypertension
Methapyrilene	contraindication	hypertensive disorder
Methapyrilene	contraindication	hypertension
Antazoline	contraindication	hypertensive disorder
Antazoline	contraindication	hypertension
Polyvinyl alcohol	contraindication	hypertensive disorder
Polyvinyl alcohol	contraindication	hypertension
Diethylpropion	contraindication	hypertensive disorder
Diethylpropion	contraindication	hypertension
Pseudoephedrine	contraindication	hypertensive disorder
Pseudoephedrine	contraindication	hypertension
Guaiacol	contraindication	hypertensive disorder
Guaiacol	contraindication	hypertension
Salmeterol	contraindication	hypertensive disorder
Salmeterol	contraindication	hypertension
Acrivastine	contraindication	hypertensive disorder
Acrivastine	contraindication	hypertension
Homatropine	contraindication	hypertensive disorder
Homatropine	contraindication	hypertension
Potassium citrate	contraindication	hypertensive disorder
Potassium citrate	contraindication	hypertension
Brompheniramine	contraindication	hypertensive disorder
Brompheniramine	contraindication	hypertension
Pheniramine	contraindication	hypertensive disorder
Pheniramine	contraindication	hypertension
Benzatropine	contraindication	hypertensive disorder
Benzatropine	contraindication	hypertension
Raloxifene	contraindication	hypertensive disorder
Raloxifene	contraindication	hypertension
Perazine	contraindication	hypertensive disorder
Perazine	contraindication	hypertension
Mometasone furoate	contraindication	hypertensive disorder
Mometasone furoate	contraindication	hypertension
Cetirizine	contraindication	hypertensive disorder
Cetirizine	contraindication	hypertension
Fexofenadine	contraindication	hypertensive disorder
Fexofenadine	contraindication	hypertension
Atomoxetine	contraindication	hypertensive disorder
Atomoxetine	contraindication	hypertension
Orphenadrine	contraindication	hypertensive disorder
Orphenadrine	contraindication	hypertension
Riboflavin	contraindication	hypertensive disorder
Riboflavin	contraindication	hypertension
Methylprednisolone	contraindication	hypertensive disorder
Methylprednisolone	contraindication	hypertension
Chlorcyclizine	contraindication	hypertensive disorder
Chlorcyclizine	contraindication	hypertension
Cyclizine	contraindication	hypertensive disorder
Cyclizine	contraindication	hypertension
Warfarin	contraindication	hypertensive disorder
Warfarin	contraindication	hypertension
Fluticasone propionate	contraindication	hypertensive disorder
Fluticasone propionate	contraindication	hypertension
Homatropine methylbromide	contraindication	hypertensive disorder
Homatropine methylbromide	contraindication	hypertension
Loratadine	contraindication	hypertensive disorder
Loratadine	contraindication	hypertension
Levonorgestrel	contraindication	hypertensive disorder
Levonorgestrel	contraindication	hypertension
Clofedanol	contraindication	hypertensive disorder
Clofedanol	contraindication	hypertension
Citric acid	contraindication	hypertensive disorder
Citric acid	contraindication	hypertension
Tromethamine	contraindication	hypertensive disorder
Tromethamine	contraindication	hypertension
Procyclidine	contraindication	hypertensive disorder
Procyclidine	contraindication	hypertension
Pentoxyverine	contraindication	hypertensive disorder
Pentoxyverine	contraindication	hypertension
Dicyclomine	contraindication	hypertensive disorder
Dicyclomine	contraindication	hypertension
Nafarelin	contraindication	hypertensive disorder
Nafarelin	contraindication	hypertension
Isoprenaline	contraindication	hypertensive disorder
Isoprenaline	contraindication	hypertension
Potassium Iodide	contraindication	hypertensive disorder
Potassium Iodide	contraindication	hypertension
Histrelin	contraindication	hypertensive disorder
Histrelin	contraindication	hypertension
Pentobarbital	contraindication	hypertensive disorder
Pentobarbital	contraindication	hypertension
Secobarbital	contraindication	hypertensive disorder
Secobarbital	contraindication	hypertension
Codeine	contraindication	hypertensive disorder
Codeine	contraindication	hypertension
Fluoxymesterone	contraindication	hypertensive disorder
Fluoxymesterone	contraindication	hypertension
Sodium phosphate, monobasic	contraindication	hypertensive disorder
