acamprosate	A	grm5
acetaminophen	A	vegfa
acitretin	A	fas
adenine	A	ar
adenosine	A	adora3
alfacalcidol	A	vdr
almotriptan	A	htr1b
alprenolol	A	htr1a
alprenolol	A	sct
amiloride	A	cftr
amiloride	A	prl
amiloride	A	slc8a1
amlodipine	A	casp8
amphetamine	A	npy
amphetamine	A	nts
amrinone	A	stat3
aripiprazole	A	drd2
astemizole	A	kcnh2
atenolol	A	nr3c1
atorvastatin	A	mmp9
atropine	A	gal
atropine	A	hesx1
atropine	A	trh
azathioprine	A	cd4
bacitracin	A	tnf
baclofen	A	ca2
beclomethasone	A	ins
bepridil	A	kcnh2
betamethasone	A	nr3c1
betamethasone	A	sftpb
bleomycin	A	vegfa
bosentan	A	edn1
budesonide	A	nr1i2
bumetanide	A	fgf7
caffeine	A	adora1
caffeine	A	adora2a
caffeine	A	kcnh2
caffeine	A	ryr1
calcipotriol	A	vdr
candesartan	A	edn1
captopril	A	ang
carbachol	A	ca2
carboplatin	A	kng1
cefamandole	A	bad
celecoxib	A	cd8a
celecoxib	A	il17a
celecoxib	A	vegfa
cephaloridine	A	slc22a5
ceruletide	A	fos
cetirizine	A	il5
chenodeoxycholic acid	A	nr1h4
chenodeoxycholic acid	A	nr1i2
chloroquine	A	ank3
chloroquine	A	mapk7
cilastatin	A	lrp2
cimetidine	A	casp1
cimetidine	A	hrh2
cisplatin	A	cdc25a
cisplatin	A	egf
clenbuterol	A	ar
clodronate	A	bglap
clodronate	A	cd4
clofibrate	A	ppara
clomipramine	A	kcnh2
clonazepam	A	cbr1
clonazepam	A	tspo
clonidine	A	fmr1
clozapine	A	cd4
clozapine	A	nts
cocaine	A	gria4
cocaine	A	mapk8
colchicine	A	agt
colchicine	A	cdh1
colchicine	A	nr3c1
creatine	A	lpl
creatine	A	tnf
cyclophosphamide	A	bcl2
cyproterone acetate	A	tat
cytarabine	A	il3
danazol	A	gnrh1
danazol	A	ins
daunorubicin	A	nfkb1
dexamethasone	A	nr1i2
dexamethasone	A	raf1
dexamethasone	A	tlr4
dexmedetomidine	A	adra2a
diazepam	A	cnr1
diazepam	A	tspo
diazoxide	A	abcc8
